EURUSD,Open,High,Low,Close,Range HL
27.05.2014,1.3646,1.3669,1.3613,1.3635,56
28.05.2014,1.3635,1.3638,1.3589,1.3591,49
29.05.2014,1.3591,1.3626,1.3586,1.3602,40
30.05.2014,1.3602,1.365,1.3599,1.3635,51
02.06.2014,1.3635,1.3644,1.3588,1.3597,56
03.06.2014,1.3597,1.3648,1.3588,1.3628,60
04.06.2014,1.3628,1.3639,1.3597,1.3599,42
05.06.2014,1.3599,1.367,1.3503,1.366,167
06.06.2014,1.366,1.3677,1.3621,1.3643,56
09.06.2014,1.3644,1.3669,1.3583,1.3594,86
10.06.2014,1.3594,1.3602,1.3534,1.3547,68
11.06.2014,1.3547,1.3557,1.3522,1.3532,35
12.06.2014,1.3531,1.3572,1.3512,1.3552,60
13.06.2014,1.3552,1.3579,1.3521,1.354,58
16.06.2014,1.3537,1.3579,1.3513,1.3574,66
17.06.2014,1.3574,1.3587,1.3536,1.3547,51
18.06.2014,1.3547,1.3599,1.3542,1.3595,57
19.06.2014,1.3595,1.3644,1.3584,1.3608,60
20.06.2014,1.3608,1.3634,1.3565,1.36,69
23.06.2014,1.3592,1.3614,1.3574,1.3605,40
24.06.2014,1.3605,1.3628,1.3584,1.3606,44
25.06.2014,1.3606,1.3651,1.3601,1.3629,50
26.06.2014,1.3629,1.3641,1.3576,1.3612,65
27.06.2014,1.3612,1.3651,1.361,1.3649,41
30.06.2014,1.3647,1.3698,1.364,1.3692,58
01.07.2014,1.3692,1.37,1.3676,1.3679,24
02.07.2014,1.3679,1.3683,1.3643,1.366,40
03.07.2014,1.366,1.3664,1.3596,1.361,68
04.07.2014,1.361,1.3611,1.3586,1.3595,25
07.07.2014,1.3598,1.3609,1.3576,1.3605,33
08.07.2014,1.3605,1.3617,1.3588,1.3612,29
09.07.2014,1.3612,1.3649,1.3602,1.3642,47
10.07.2014,1.3642,1.3651,1.3589,1.3609,62
11.07.2014,1.3609,1.3625,1.3592,1.3608,33
14.07.2014,1.3603,1.364,1.3597,1.3619,43
15.07.2014,1.3619,1.3628,1.3562,1.3568,66
16.07.2014,1.3568,1.3573,1.3521,1.3525,52
17.07.2014,1.3525,1.354,1.3517,1.3526,23
18.07.2014,1.3526,1.3536,1.3491,1.3524,45
21.07.2014,1.3528,1.3549,1.3513,1.3524,36
22.07.2014,1.3524,1.353,1.3459,1.3466,71
23.07.2014,1.3466,1.3474,1.3455,1.3464,19
24.07.2014,1.3464,1.3485,1.3438,1.3464,47
25.07.2014,1.3464,1.3476,1.3422,1.343,54
28.07.2014,1.3433,1.3444,1.3427,1.344,17
29.07.2014,1.344,1.3444,1.3404,1.3409,40
30.07.2014,1.3409,1.3415,1.3367,1.3397,48
31.07.2014,1.3397,1.3401,1.3372,1.339,29
01.08.2014,1.339,1.3445,1.3379,1.3427,66
04.08.2014,1.3427,1.3433,1.341,1.3422,23
05.08.2014,1.3422,1.3425,1.3358,1.3376,67
06.08.2014,1.3376,1.3387,1.3333,1.3383,54
07.08.2014,1.3383,1.3394,1.3337,1.3364,57
08.08.2014,1.3364,1.3433,1.3344,1.341,89
11.08.2014,1.3401,1.3415,1.3381,1.3385,34
12.08.2014,1.3385,1.3386,1.3336,1.3369,50
13.08.2014,1.3369,1.3415,1.3342,1.3364,73
14.08.2014,1.3364,1.3408,1.3349,1.3365,59
15.08.2014,1.3365,1.3412,1.3359,1.3401,53
18.08.2014,1.3391,1.3399,1.3353,1.3364,46
19.08.2014,1.3364,1.3365,1.3313,1.332,52
20.08.2014,1.332,1.3324,1.3256,1.3259,68
21.08.2014,1.3259,1.3288,1.3242,1.3281,46
22.08.2014,1.3281,1.3297,1.3221,1.3242,76
25.08.2014,1.3211,1.322,1.3184,1.3192,36
26.08.2014,1.3192,1.3215,1.3165,1.3167,50
27.08.2014,1.3167,1.321,1.3153,1.3193,57
28.08.2014,1.3193,1.3221,1.316,1.3182,61
29.08.2014,1.3182,1.3196,1.3132,1.3132,64
01.09.2014,1.3138,1.3145,1.3119,1.3128,26
02.09.2014,1.3128,1.3137,1.311,1.3133,27
03.09.2014,1.3133,1.316,1.3122,1.315,38
04.09.2014,1.315,1.3154,1.292,1.2944,234
05.09.2014,1.2944,1.2988,1.2922,1.2951,66
08.09.2014,1.2943,1.2961,1.2882,1.2895,79
09.09.2014,1.2895,1.2957,1.286,1.2937,97
10.09.2014,1.2937,1.2963,1.2884,1.2917,79
11.09.2014,1.2917,1.2952,1.2897,1.2925,55
12.09.2014,1.2925,1.2979,1.2909,1.2963,70
15.09.2014,1.2971,1.298,1.2909,1.294,71
16.09.2014,1.294,1.2995,1.2923,1.296,72
17.09.2014,1.296,1.2981,1.2852,1.2865,129
18.09.2014,1.2865,1.293,1.2835,1.2923,95
19.09.2014,1.2923,1.2929,1.2829,1.2829,100
22.09.2014,1.2827,1.2868,1.2816,1.2849,52
23.09.2014,1.2849,1.2901,1.2843,1.2847,58
24.09.2014,1.2847,1.2864,1.2774,1.278,90
25.09.2014,1.278,1.2783,1.2697,1.2751,86
